TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,1,4,Share,Learn,Share,0.430999994278,Whether I have a savings account,Whether I like painting,Whether I have a savings account,1.72000002861,1.52432490706,N/A,N/A
2,2,4,Learn,Trivia,Learn,0.864000082016,Do you like to read,Do you like driving,Do you like to read,0.362999916077,N/A,0.575999975204,I like to read
3,1,3,Share,Learn,Share,0.676999807358,Whether I like painting,Whether I like my job,Whether I like my job,5.70399999619,2.78459045909,N/A,N/A
