TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,3,Share,Learn,Share,0.674000024796,How much I love to travel,Whether I have hobbies,Whether I have hobbies,0.624000072479,1.58539145371,N/A,N/A
2,1,3,Learn,Trivia,Learn,0.173000097275,Do you like Japanese comic books (manga),Do you have an iPhone,Do you have an iPhone,0.605999946594,N/A,0.878999948502,I own an iPhone
3,2,2,Share,Learn,Share,0.0859999656677,Whether I like tattoos,How much I like to exercise,Whether I like tattoos,0.56200003624,2.58278016955,N/A,N/A
