TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,1,Share,Learn,Share,0.523999929428,Whether I like going to clubs,Whether I have a car,Whether I like going to clubs,0.577000141144,2.14059478245,N/A,N/A
2,1,4,Share,Learn,Share,0.454999923706,Whether I have good eyesight,Whether I like tattoos,Whether I have good eyesight,0.649999856949,2.26528276805,N/A,N/A
3,3,2,Learn,Trivia,Learn,0.259000062943,Do you like bugs,Do you like swimming,Do you like bugs,0.589999914169,N/A,0.352999925613,I don't like bugs
4,1,3,Share,Trivia,Share,0.421999931335,How much I like chocolate,Whether I like bicycling,How much I like chocolate,2.992000103,1.82698634521,N/A,N/A
