TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,3,3,Share,Trivia,Share,0.501000165939,Whether I have lots of friends,How much I love to travel,Whether I have lots of friends,0.68499994278,1.61718612674,N/A,N/A
2,4,3,Learn,Trivia,Learn,0.531000137329,Do you like your job,Do you like chocolate,Do you like chocolate,0.546999931335,N/A,1.26800012589,I like chocolate
3,1,1,Share,Learn,Share,0.628000020981,How much I love to travel,Whether I like popo music,Whether I like popo music,0.795000076294,2.70304283783,N/A,N/A
