TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,3,Share,Learn,Share,0.68799996376,Whether I like camping,Whether I like my job,Whether I like camping,0.618999958038,1.7220858565,N/A,N/A
2,3,3,Share,Learn,Share,0.615000009537,Whether I like my job,How much I like coffee,How much I like coffee,1.28900003433,2.54479286857,N/A,N/A
3,3,3,Learn,Trivia,Learn,1.28399991989,Do you have an instagram account,Do you like camping,Do you have an instagram account,0.708999872208,N/A,1.15500020981,I have an instagram account
