TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,3,3,Learn,Trivia,Trivia,0.434000015259,Culture,History,History,0.533999919891,N/A,3.13499999046,Leonardo Da Vinci invented scissors.
2,4,4,Share,Learn,Share,0.0800001621246,Whether I like going to clubs,Whether I like tattoos,Whether I like going to clubs,0.884999990463,2.34495721364,N/A,N/A
3,3,1,Share,Trivia,Share,0.407999992371,Whether I have a car,Whether I have a car,Whether I have a car,0.523000001907,1.98223757041,N/A,N/A
4,4,4,Learn,Trivia,Trivia,0.069000005722,Science,People,Science,0.789999961853,N/A,0.588000059128,Human saliva has a boiling point three times that of regular water.
5,3,3,Learn,Trivia,Trivia,0.0369999408722,History,People,People,0.649000167847,N/A,0.194000005722,"in 2015, more people were killed from injuries caused by taking a selfie than by shark attacks."
6,4,3,Learn,Trivia,Trivia,0.095999956131,Geography,Animals,Animals,0.364000082016,N/A,0.248000144958,A flock of crows is known as a murder.
7,4,1,Learn,Trivia,Trivia,0.0510001182556,Animals,Culture,Animals,0.352999925613,N/A,0.0380001068115,A snail can sleep for three years.
8,1,4,Share,Trivia,Trivia,0.265000104904,History,Film/Movies,Film/Movies,0.549000024796,N/A,0.405999898911,"Barbie in Toy Story is voiced by Jodi Benson, best known for her role as Ariel in The Little Mermaid."
9,4,1,Learn,Trivia,Learn,0.424999952316,Do you like live music,Do you like going to the movies,Do you like going to the movies,0.523000001907,N/A,0.228999853134,I like going to the movies
10,3,1,Share,Learn,Learn,0.346999883652,Do you like to read,Do you like pop music,Do you like to read,0.830000162125,N/A,0.789000034332,I like to read
11,4,3,Share,Trivia,Trivia,0.0700001716614,Animals,Animals,Animals,0.398000001907,N/A,0.332000017166,"A youep, a duck and a rooster were the first passengers in a hot air balloon."
12,3,1,Learn,Trivia,Learn,0.295000076294,Do you like cooking,Do you like trying new foods,Do you like trying new foods,0.835999965668,N/A,0.821000099182,I like trying new foods
13,3,2,Share,Trivia,Share,0.22000002861,Whether I like going to the movies,How much I love live music,How much I love live music,0.350000143051,2.21618034213,N/A,N/A
14,1,4,Share,Trivia,Share,0.416000127792,Whether I have an instagram account,Whether I like tattoos,Whether I like tattoos,0.479000091553,2.03719693252,N/A,N/A
15,1,4,Learn,Trivia,Learn,0.0569999217987,Do you like chocolate,Do you like cooking,Do you like cooking,0.53200006485,N/A,0.369999885559,I absolutely like cooking
16,2,2,Share,Learn,Share,0.115000009537,How much I like cooking,Whether I belong to a religious body,How much I like cooking,0.911999940872,2.67382308811,N/A,N/A
17,2,2,Learn,Trivia,Trivia,0.233999967575,Animals,Geography,Geography,0.689999818802,N/A,0.0189998149872,The Himalayan mountains are the highest in the world.
18,4,2,Share,Trivia,Trivia,0.267999887466,Science,Film/Movies,Film/Movies,0.606999874115,N/A,0.0529999732971,Sean Connery wore a wig in every single one of his Bond performances.
19,1,4,Learn,Trivia,Trivia,0.0269999504089,Animals,People,People,0.523000001907,N/A,0.0479998588562,Every human spent about half an hour as a single cell.
20,3,2,Learn,Trivia,Trivia,0.134000062943,People,Film/Movies,Film/Movies,0.806999921799,N/A,0.296999931335,"The first animated film to be nominated for an Oscar for best picture was Disney's ""Beauty and the Beast""."
21,4,3,Learn,Trivia,Trivia,0.15299987793,Sport,Animals,Animals,0.346999883652,N/A,0.141999959946,Slugs have four noses.
22,1,1,Learn,Trivia,Trivia,0.118999958038,Science,Geography,Geography,1.05599999428,N/A,0.175999879837,Canada has more than half of all the natural lakes in the world.
23,1,4,Share,Learn,Learn,0.142999887466,Do you like to exercise,Do you like building things,Do you like to exercise,0.595999956131,N/A,0.123000144958,I absolutely like to exercise
24,4,4,Share,Learn,Learn,0.231999874115,Do you like dessert,Do you like coffee,Do you like coffee,0.365000009537,N/A,0.226999998093,I absolutely like coffee
25,4,3,Learn,Trivia,Trivia,0.246999979019,Culture,Geography,Culture,0.540999889374,N/A,0.476999998093,Dueling is legal is Paraguay as long as both parties are registered blood donors.
26,3,2,Share,Learn,Learn,0.275000095367,Do you like to go to clubs,Do you like bugs,Do you like bugs,0.713999986649,N/A,0.200000047684,I don't like bugs
27,2,1,Share,Learn,Learn,0.0869998931885,Do you like coffee,Do you like your job,Do you like your job,0.43799996376,N/A,0.0239999294281,I like my job
