TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,3,Share,Trivia,Trivia,0.058000087738,Animals,Animals,Animals,0.5609998703,N/A,1.19199991226,Ostriches stick their heads in the sand to look for water.
2,3,2,Share,Learn,Learn,0.506999969482,Do you like body piercings,Do you like to go to clubs,Do you like to go to clubs,0.432999849319,N/A,0.844999790192,I don't like going to clubs
3,4,1,Share,Learn,Share,0.141999959946,Whether I have lots of friends,Whether I like going to the movies,Whether I like going to the movies,0.887000083923,1.62255786526,N/A,N/A
4,2,1,Learn,Trivia,Trivia,0.571000099182,Film/Movies,Culture,Film/Movies,0.848000049591,N/A,0.565999984741,"For the 1939 movie ""Gone with the Wind"" 1,400 actresses were interviewed for the part of Scarlett."
