TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,3,Share,Learn,Share,0.403000116348,Whether I like desserts,Whether I have a car,Whether I like desserts,0.650000095367,1.8433023951,N/A,N/A
2,1,1,Learn,Trivia,Learn,1.24300003052,Do you like coffee,Do you have an iPhone,Do you like coffee,0.679999828339,N/A,0.593000173569,I absolutely like coffee
3,3,2,Share,Learn,Share,0.316999912262,Whether I have a car,How much I like chocolate,How much I like chocolate,1.05599999428,2.75982744421,N/A,N/A
