,Trial,TrialStart,Stimulus,StimGender,Accuracy,RT,Response,CorrectResponse,Responses,TrialEnd
0,1,24.8293,17.png,F,0,14.2755,affectionate,doubtful,"['doubtful', 'playful', 'affectionate', 'aghast']",41.0265
1,2,41.0313,32.png,M,1,5.4679,serious,serious,"['bewildered', 'ashamed', 'serious', 'alarmed']",47.8284
2,3,47.8395,7.png,M,0,11.3759,friendly,uneasy,"['friendly', 'dispirited', 'uneasy', 'apologetic']",77.1684
