TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,3,2,Share,Trivia,Share,0.65299987793,How much I like cooking,How much I like cooking,How much I like cooking,0.921000003815,2.35604043008,N/A,N/A
2,4,3,Learn,Trivia,Trivia,0.853000164032,Geography,Geography,Geography,0.555999994278,N/A,0.0529999732971,The Himalayan mountains are the highest in the world.
3,3,3,Share,Trivia,Share,0.648000001907,How much I like cooking,Whether I like to read,Whether I like to read,3.50900006294,2.41239963145,N/A,N/A
