TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,2,1,Share,Learn,Share,0.394000053406,Whether I like popo music,Whether I like tattoos,Whether I like popo music,0.660000085831,2.86989491277,N/A,N/A
2,1,3,Learn,Trivia,Learn,1.19499993324,Do you like bicycling,Do you like hiking,Do you like bicycling,0.648000001907,N/A,0.753999948502,I like bicycling
3,3,2,Share,Learn,Share,0.394000053406,How much I love live music,Whether I like desserts,Whether I like desserts,0.635999917984,2.47620310153,N/A,N/A
4,3,2,Learn,Trivia,Trivia,0.888000011444,Culture,Animals,Culture,0.663999795914,N/A,0.521000146866,Hewlett-Packard’s name was decided in a coin toss.
5,4,3,Learn,Trivia,Trivia,1.0609998703,Film/Movies,Geography,Geography,0.582000017166,N/A,0.0620000362396,The Sargasso Sea is the only sea with no coast.
6,2,1,Learn,Trivia,Learn,1.19000005722,Do you like your job,Do you have a savings account,Do you have a savings account,0.631000041962,N/A,0.541999816895,I don't have a savings account
7,1,1,Share,Learn,Share,0.528000116348,Whether I like canoeing,Whether I like hiking,Whether I like canoeing,1.08100008965,1.86237584299,N/A,N/A
8,4,3,Share,Learn,Share,0.473000049591,Whether I like going to the movies,How much I love to travel,How much I love to travel,0.640999794006,2.02680416666,N/A,N/A
