,Trial,TrialStart,Stimulus,StimGender,Accuracy,RT,Response,CorrectResponse,Responses,TrialEnd
0,1,22.5498,1093.png,F,1,24.4849,desire,desire,"['flustered', 'desire', 'convinced', 'joking']",49.0136
1,2,49.0371,1091.png,M,0,20.1981,irritated,playful,"['irritated', 'playful', 'bored', 'comforting']",71.4704
2,3,71.4765,10926.png,M,1,4.1959,hostile,hostile,"['hostile', 'alarmed', 'shy', 'anxious']",77.4717
3,4,77.4787,10915.png,F,1,20.155,contemplative,contemplative,"['flustered', 'contemplative', 'sympathetic', 'encouraging']",99.642
4,5,99.6492,10923.png,M,1,28.3211,defiant,defiant,"['defiant', 'curious', 'apologetic', 'contented']",129.6661
5,6,129.6724,10914.png,M,1,51.2316,accusing,accusing,"['disappointed', 'depressed', 'accusing', 'irritated']",182.6261
6,7,182.6387,10916.png,M,0,4.6728,sympathetic,thoughtful,"['irritated', 'thoughtful', 'sympathetic', 'encouraging']",189.0525
7,8,189.0585,10912.png,M,0,5.1256,indifferent,sceptical,"['indifferent', 'embarassed', 'dispirited', 'sceptical']",195.9333
8,9,195.9393,1095.png,M,1,22.4019,worried,worried,"['sarcastic', 'friendly', 'irritated', 'worried']",220.1837
9,10,220.1899,10931.png,F,1,50.6041,confident,confident,"['ashamed', 'alarmed', 'confident', 'bewildered']",273.1704
10,11,273.1844,10925.png,F,0,30.6098,incredulous,interested,"['panicked', 'interested', 'despondent', 'incredulous']",305.197
11,12,305.2032,10921.png,F,1,18.7822,fantasizing,fantasizing,"['panicked', 'embarassed', 'confused', 'fantasizing']",325.2789
12,13,325.2856,10934.png,F,1,25.0078,distrustful,distrustful,"['baffled', 'aghast', 'terrified', 'distrustful']",351.8819
13,14,351.8883,10929.png,F,0,20.8862,impatient,reflective,"['aghast', 'reflective', 'irritated', 'impatient']",374.1466
14,15,374.1527,10933.png,M,1,4.2975,concerned,concerned,"['fantasizing', 'concerned', 'embarassed', 'guilty']",380.06
15,16,380.0667,10928.png,F,1,34.9449,interested,interested,"['affectionate', 'joking', 'contented', 'interested']",416.626
16,17,416.6319,1096.png,F,0,11.5982,impatient,fantasizing,"['aghast', 'impatient', 'alarmed', 'fantasizing']",429.7287
17,18,429.7346,10924.png,M,1,12.1405,pensive,pensive,"['hostile', 'irritated', 'pensive', 'excited']",443.4394
18,19,443.446,1094.png,M,1,7.4786,insisting,insisting,"['joking', 'amused', 'relaxed', 'insisting']",452.5902
19,20,452.5966,10919.png,F,1,13.8512,tentative,tentative,"['tentative', 'sarcastic', 'arrogant', 'grateful']",467.7699
20,21,467.7762,10935.png,F,1,6.3086,nervous,nervous,"['contemplative', 'puzzled', 'nervous', 'insisting']",475.3746
21,22,475.381,10927.png,F,1,4.2051,cautious,cautious,"['joking', 'cautious', 'arrogant', 'reassuring']",480.8321
22,23,480.8383,10922.png,F,1,19.7121,preoccupied,preoccupied,"['preoccupied', 'insisting', 'grateful', 'imploring']",502.1199
23,24,502.1267,10911.png,M,1,6.8543,regretful,regretful,"['regretful', 'amused', 'terrified', 'flirtatious']",510.6848
24,25,510.6913,1098.png,M,1,5.5181,despondent,despondent,"['excited', 'relieved', 'shy', 'despondent']",517.4413
25,26,517.4475,1097.png,M,1,26.5507,uneasy,uneasy,"['apologetic', 'friendly', 'uneasy', 'dispirited']",545.3391
26,27,545.3453,10910.png,M,1,9.9372,cautious,cautious,"['insisting', 'aghast', 'bored', 'cautious']",556.4417
27,28,556.4481,1092.png,M,1,10.606,upset,upset,"['annoyed', 'upset', 'terrified', 'arrogant']",568.3863
28,29,568.3947,10932.png,M,1,11.6422,serious,serious,"['bewildered', 'alarmed', 'serious', 'ashamed']",581.3493
29,30,581.3555,10920.png,M,1,3.6767,friendly,friendly,"['guilty', 'friendly', 'horrified', 'dominant']",586.2318
30,31,586.238,10913.png,M,1,25.3504,anticipating,anticipating,"['threatening', 'shy', 'decisive', 'anticipating']",613.2944
31,32,613.3011,10930.png,F,1,3.3785,flirtatious,flirtatious,"['grateful', 'disappointed', 'hostile', 'flirtatious']",617.7557
32,33,617.7625,1099.png,F,1,4.4279,preoccupied,preoccupied,"['horrified', 'preoccupied', 'hostile', 'annoyed']",623.225
33,34,623.2314,10936.png,M,1,2.9697,suspicious,suspicious,"['ashamed', 'nervous', 'indecisive', 'suspicious']",627.2355
34,35,627.2421,10917.png,F,1,9.3143,doubtful,doubtful,"['playful', 'doubtful', 'aghast', 'affectionate']",637.6415
35,36,637.6477,10918.png,F,0,7.0422,bored,decisive,"['amused', 'decisive', 'bored', 'aghast']",645.7739
